代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
011301,私立淡江高中附設國小,私立,[01]新北市,[251]新北市淡水區真理街26號,(02)26203850,http://www.tksh.ntpc.edu.tw
011302,私立康橋高中附設國小,私立,[01]新北市,[231]新北市新店區華城路800號,(02)22166000,http://www.kcbs.ntpc.edu.tw
011307,新北市裕德高級中等學校附設國小,私立,[01]新北市,[236]新北市土城區擺接堡路1號,(02)82617889,http://www.yuteh.ntpc.edu.tw/yuteh/
011330,新北市林口康橋國際高中附設國小,私立,[01]新北市,[244]新北市林口區興林路55號,(02)26015888,http://www.kcislk.ntpc.edu.tw/zh/index.html
400144,國立臺灣戲曲學院附設國小,公立,[40]臺北市,[114]臺北市內湖路二段177號,(02)27962666,http://www.tcpa.edu.tw
421303,臺北市私立奎山實驗高級中學附設國小,私立,[42]臺北市,[112]臺北市北投區榮華里明德路200號,(02)28212009,https://www.kshs.tp.edu.tw/
031320,桃園市新興高中附設國小,私立,[03]桃園市,[334]桃園市八德區永豐路563號,(03)3796996,http://www.hshs.tyc.edu.tw
031326,私立大華高中附設國小,私立,[03]桃園市,[326]桃園市楊梅區三民路二段200號,(03)4820506,http://www.thsh.tyc.edu.tw
034529,市立仁美國中附設國小,公立,[03]桃園市,[326]桃園市楊梅區高榮里梅獅路539巷1號,(03)4641123,http://www.zmjhs.tyc.edu.tw
061322,華德福大地實驗學校附設國小,私立,[06]臺中市,[414]臺中市烏日區公園路36號,(04)23377520,http://www.motherearth.com.tw/
191301,私立東大附中附設國小,私立,[19]臺中市,[407]臺中市西屯區臺灣大道四段1727號,(04)23590269,http://www.hn.thu.edu.tw
191302,私立葳格高中附設國小,私立,[19]臺中市,[406]臺中市北屯區軍福十八路328號,(04)24371728,https://senior.wagor.tc.edu.tw/
191309,私立明德高中附設國小,私立,[19]臺中市,[402]臺中市南區明德街84號,(04)22877676,http://www.mdhs.tc.edu.tw
191315,私立磊川華德福實驗教育學校附設國小,私立,[19]臺中市,[406]臺中市北屯區松竹五路233號及366號,(04)24350110,http://www.leichuan.tc.edu.tw/
110328,國立南科國際實驗高中附設國小,公立,[11]臺南市,[744]臺南市新市區三舍里大順6路12巷6號,(06)5052916,http://www.nnkieh.tn.edu.tw
211320,財團法人慈濟高中附設國小,私立,[21]臺南市,[708]臺南市安平區建平五街111號,(06)2932323,http://www.tcsh.tn.edu.tw
121320,私立義大國際高中附設國小,私立,[12]高雄市,[840]高雄市大樹區學城路1段6號,(07)6577115 ,https://www.iis.kh.edu.tw/tw
121502,私立光禾華德福實驗學校(國中)附設國小,私立,[12]高雄市,[831]高雄市大寮區至學路288號,(07)7885128,http://waldorf-tw-kh.weebly.com/
521301,天主教明誠高中附設國小,私立,[52]高雄市,[804]高雄市鼓山區中華一路97號,(07)5521593,http://www.mcsh.kh.edu.tw
521303,私立大榮高中附設國小,私立,[52]高雄市,[804]高雄市鼓山區大榮街1號,(07)5613281,http://www.dystcs.kh.edu.tw
521401,私立中華藝校附設國小,私立,[52]高雄市,[804]高雄市鼓山區美術館路89號,(07)5549696,http://www.charts.kh.edu.tw
551303,南海月光實驗學校附設國小,私立,[55]高雄市,[807]高雄市三民區大中一路110巷52弄15號,(07)3458068,https://rise-education2018.webnode.tw/
580301,國立高師大附中附設國小,公立,[58]高雄市,[802]高雄市苓雅區凱旋二路89號,(07)7613875,http://www.nknush.kh.edu.tw
021310,私立中道高中附設國小,私立,[02]宜蘭縣,[263]宜蘭縣壯圍鄉功勞村中央路三段312巷7號,(03)9306696,http://www.cdsh.ilc.edu.tw
024325,縣立慈心華德福實中附設國小,公立,[02]宜蘭縣,[269]宜蘭縣冬山鄉照安路257號,(039)596222,http://blog.ilc.edu.tw/blog/blog/25783
051307,私立全人實驗高中附設國小,私立,[05]苗栗縣,[369]苗栗縣卓蘭鎮內灣里內灣141-3號,(04)25896909,http://holistic.org.tw/
081313,私立弘明實驗高中附設國小,私立,[08]南投縣,[551]南投縣名間鄉東湖村大老巷102號,(049)2731799,http://www.holdmean.org.tw
141301,臺東縣均一高中附設國小,私立,[14]臺東縣,[950]臺東縣臺東市中興路二段366巷36號,(089)223301,http://junyi.tw
151312,財團法人慈濟大學附中附設國小,私立,[15]花蓮縣,[970]花蓮縣花蓮市介仁街178號,(03)8572823,http://www.tcsh.hlc.edu.tw
171306,私立二信高中附設國小,私立,[17]基隆市,[202]基隆市中正區立德路243號,(02)24623131,http://www.essh.kl.edu.tw/essh/index.asp
171308,輔大聖心高中附設國小,私立,[17]基隆市,[203]基隆市中山區西定路166號,(02)24282454,http://www.shsh.kl.edu.tw
180301,國立科學工業園區實驗高中附設國小,公立,[18]新竹市,[300]新竹市東區介壽路300號,(03)5777011,http://www.nehs.hc.edu.tw
