代碼,學校名稱,公/私立,縣市名稱,鄉鎮市區,地址,電話
401K0E,臺北市璽典職場互助教保服務中心,私立,[40]臺北市,內湖區,[114]臺北市內湖區石潭里11鄰石潭路65號2樓,(02)27948812
121K0G,高雄市岱克拉思部落互助教保服務中心(高雄市原住民族文教協會辦理),私立,[12]高雄市,杉林區,[846]高雄市杉林區大愛里5鄰合心路40巷12號,(07)6776074
041K0N,新竹縣馬里光部落互助教保服務中心（財團法人至善社會福利基金會辦理）,私立,[04]新竹縣,尖石鄉,[313]新竹縣尖石鄉玉峰村6鄰宇抬41號,(03)5847135
041K0O,新竹縣司馬庫斯部落互助教保服務中心（新竹縣尖石鄉泰雅爾司馬庫斯部落發展協會辦理）,私立,[04]新竹縣,尖石鄉,[313]新竹縣尖石鄉玉峰村14鄰斯馬庫斯1號,(03)5847672
131K05,屏東縣牡丹鄉旭海社區互助教保服務中心(牡丹鄉旭海社區發展協會辦理),私立,[13]屏東縣,牡丹鄉,[945]屏東縣牡丹鄉旭海村6鄰旭海路99號,(08)8830085
131K06,屏東縣瑪家鄉美園社區互助教保服務中心(瑪家鄉美園社區發展協會辦理),私立,[13]屏東縣,瑪家鄉,[903]屏東縣瑪家鄉三和村11鄰美園4-10號,(08)7994835
131K07,屏東縣泰武鄉平和社區互助教保服務中心(泰武鄉平和社區發展協會辦理),私立,[13]屏東縣,泰武鄉,[921]屏東縣泰武鄉平和村2鄰太和巷18號,(08)7851664
131K08,屏東縣泰武鄉佳平社區互助教保服務中心(泰武鄉佳平社區發展協會辦理),私立,[13]屏東縣,泰武鄉,[921]屏東縣泰武鄉佳平村1鄰佳平巷3號,0937684512
131K09,屏東縣三地門鄉馬兒社區互助教保服務中心(三地門鄉馬兒社區發展協會),私立,[13]屏東縣,三地門鄉,[901]屏東縣三地門鄉馬兒村1鄰馬兒巷2號,0926827130
141K03,臺東縣卑南部落互助教保服務中心(東台灣幼兒教保專業促進協會辦理),私立,[14]臺東縣,卑南鄉,[954]臺東縣卑南鄉泰安村1鄰泰安1號,(089)384187
141K04,臺東縣蘭嶼部落互助教保服務中心（財團法人基督教蘭恩文教基金會辦理）,私立,[14]臺東縣,蘭嶼鄉,[952]臺東縣蘭嶼鄉紅頭村1鄰漁人147號,(089)732567
